Index,TP_last_year,TN_last_year,TN2TP_last_year,Chla_last_year
L124,0.051272727272727275,0.7336363636363636,14.308510638297872,0.0064444444444444445
L125,0.005083333333333333,0.41500000000000004,81.6393442622951,0.002
L126,0.07725,1.1475,14.854368932038835,0.05825
L127,0.10063636363636363,0.9600000000000001,9.53929539295393,0.006305555555555556
L129,0.015000000000000001,2.122727272727273,141.51515151515153,0.00275
L131,0.05391666666666667,1.1808333333333334,21.90108191653787,0.03775
L132,0.026083333333333333,0.46249999999999997,17.731629392971243,0.0105
L133,0.05341666666666667,1.61,30.14040561622465,0.08508333333333333
L134,0.021083333333333332,1.2983333333333333,61.581027667984195,0.009000000000000001
L135,0.02722222222222222,2.897777777777778,106.44897959183675,0.02028571428571429
L136,0.03691666666666667,1.0866666666666667,29.435665914221218,0.014454545454545454
L137,0.022166666666666668,6.9925,315.45112781954884,0.00675
