,EPL,YGPL,NPML,IMXL,Nation
2013-05-13,0.018553084114741696,0.102244830669928,0.0,0.0,0.012051804701380118
2013-05-14,0.021800483937092868,0.10610899130887969,0.0,0.0,0.013778563913968804
2013-05-15,0.011019216413167247,0.13765276371378493,0.0,0.0,0.009255974025225253
2013-05-16,0.013500911552560065,0.17227222810802792,0.0,0.0,0.011439234789928436
2013-05-17,0.02519118150226229,0.14241791327896858,0.0,0.0,0.01646175113393347
2013-05-18,0.027721038344823524,0.15606562830206216,0.0,0.0,0.018097085353529888
2013-05-19,0.027763221704271625,0.1609870000001903,0.0,0.0,0.018252369761358304
2013-05-20,0.03137811401368895,0.3622653552826576,0.0,0.0,0.025546786057813797
2013-05-21,0.026195022493626652,0.30024692379286516,0.0,0.0,0.02126749970965925
2013-05-22,0.0268164193633363,0.27326886216190793,0.0,0.0,0.02084196636848702
2013-05-23,0.025521545118485586,0.23563927349847105,0.0,0.0,0.019169167963186285
2013-05-24,0.02369089551180185,0.18961450142926692,0.0,0.0,0.016999900300930442
2013-05-25,0.016875392156374628,0.17329040277884084,0.0,0.0,0.013151823242767332
2013-05-26,0.014993191913453947,0.21899196022372208,0.0,0.0,0.01345851458040727
2013-05-27,0.02397272383055226,0.19478524897050659,0.0,0.0,0.01728163660475651
2013-05-28,0.031294154436354395,0.16029771503154702,0.0,0.0,0.019996503644266323
2013-05-29,0.018505567452385126,0.2022778095404363,0.0,0.0,0.0147563291304971
2013-05-30,0.032352986333145504,0.16595952984171408,0.0,0.0,0.020679577393636246
2013-05-31,0.029389438252792915,0.14822289477303727,0.0,0.0,0.01871618957882423
2013-06-01,0.03236870091319137,0.29253125911391326,0.0,0.0,0.024139476480754842
2013-06-02,0.030219702871774747,0.27611640750844396,0.0,0.0,0.02261882893579757
2013-06-03,0.027342511800078136,0.2672663044174586,0.0,0.0,0.020940924428915188
2013-06-04,0.02420999381694671,0.21632112404644838,0.0,0.0,0.017987459889106622
2013-06-05,0.0218470169183801,0.1669817978559094,0.0,0.0,0.01546201103422633
2013-06-06,0.017362825557935016,0.18532311035474294,0.0,0.0,0.01372336418972052
2013-06-07,0.01878877480981319,0.20278606610887745,0.0,0.0,0.014911591553069977
2013-06-08,0.01714938810616235,0.1679631665204866,0.0,0.0,0.013143332302145145
2013-06-09,0.01975401128665517,0.23517475848285763,0.0,0.0,0.01627687002956508
2013-06-10,0.020802123238531353,0.18914166136747781,0.0,0.0,0.015544690720135618
2013-06-11,0.03018852690060193,0.22216073723925578,0.0,0.0,0.02113170376502668
2013-06-12,0.03079958070848469,0.22067214026373896,0.0,0.0,0.021396193029156407
2013-06-13,0.023853652436013225,0.2048153036624464,0.0,0.0,0.017495740953949082
2013-06-14,0.024965087196736322,0.22992437306410846,0.0,0.0,0.01873547294174314
2013-06-15,0.0253930523735026,0.2508623355619208,0.0,0.0,0.019520199842586284
2013-06-16,0.018005620938824254,0.2365241797637332,0.0,0.0,0.015440732672666662
2013-06-17,0.017166341370555085,0.18834540562950647,0.0,0.0,0.013707691610627373
2013-06-18,0.01787697527545134,0.16954991324757138,0.0,0.0,0.013549880002376896
2013-06-19,0.02061637027939619,0.1555935883666488,0.0,0.0,0.014536974401961075
2013-06-20,0.017880303374784245,0.20756680867724275,0.0,0.0,0.014588395165413449
2013-06-21,0.016300044759361507,0.25859640072154527,0.0,0.0,0.01519115479827378
2013-06-22,0.020789269363074216,0.2357269948191906,0.0,0.0,0.016808817733162756
2013-06-23,0.02408272651590368,0.20678178451058477,0.0,0.0,0.01766374644430792
2013-06-24,0.02152959553401446,0.271899406541319,0.0,0.0,0.018164997659210133
2013-06-25,0.020752200545976707,0.2109889262209403,4.776823224473339e-08,0.0,0.01611562935739576
2013-06-26,0.022501303139350122,0.2166514895755589,6.028423747065133e-07,0.0,0.017143514216885453
2013-06-27,0.021728594951487545,0.3521030264908319,7.536059005883411e-07,0.0,0.020451991839782028
2013-06-28,0.01781590695723706,0.19695352511849196,1.1815373476033772e-06,0.0,0.014267102383329849
2013-06-29,0.016634422888766733,0.1552283745680302,1.3118708977142956e-06,0.0,0.01253925279636769
2013-06-30,0.015082372270603966,0.14354830351100348,1.6213273644514374e-06,0.0,0.011445868632737789
2013-07-01,0.010507103851885446,0.19316067294792932,2.2112868811679074e-06,0.0,0.01051477957649171
2013-07-02,0.008287768501004725,0.22645274201475313,2.302993627445997e-06,0.0,0.010314720032429607
2013-07-03,0.008173435154802497,0.16612512144619765,1.5755411353936463e-06,0.0,0.008612093152802201
2013-07-04,0.007355968927526171,0.1537124237194954,2.6578957908783187e-06,0.0,0.007865702542407498
2013-07-05,0.01596709218138505,0.1975150022381893,4.677811096714226e-06,0.0,0.013360283355048061
2013-07-06,0.013095891838904927,0.19571206366863123,5.135037441836065e-06,0.0,0.011877694739373596
2013-07-07,0.009564750059094226,0.1768732880143877,3.1204231437137866e-06,0.0,0.009600311541534975
2013-07-08,0.009482959685845211,0.14794654187348197,6.719749609397885e-06,0.0,0.008771518088588245
2013-07-09,0.009558158661071422,0.17042934181608133,8.380216703129963e-06,3.746240987101726e-06,0.009423523807950335
2013-07-10,0.011080566482384481,0.2053433652999669,8.189830728060564e-06,1.916731666004277e-05,0.011139208261053496
2013-07-11,0.014168071293047688,0.23071271173444616,8.682059363339915e-06,3.519504347945178e-05,0.013376320472641713
2013-07-12,0.013529379020304596,0.3028475370856896,1.0943215361413746e-05,3.8039275032258937e-05,0.015026041132671954
2013-07-13,0.007838383067956268,0.37064382251135536,3.801481229361033e-05,4.327723745108588e-05,0.014042165583645832
2013-07-14,0.010429073527576795,0.3118994207214156,0.00010313793825973693,0.00013910300160720074,0.013772263364323068
2013-07-15,0.006943628607526602,0.27116713218972055,9.659876524211216e-05,0.0002435084155249941,0.010942355217725004
2013-07-16,0.009764823060044066,0.24510431185526477,0.00010196250237211058,0.00013077639518203714,0.011616725678455316
2013-07-17,0.01046060010125362,0.23148609215415747,0.00022398072147619187,0.0003546059597886169,0.011675107413365686
2013-07-18,0.010286830734888215,0.2577560880552849,0.00025267480806537756,0.00039468756761798604,0.012321435716246415
2013-07-19,0.010508560376046814,0.2840401115010391,0.00021810143294673516,0.0003601870682436181,0.013132019282361657
2013-07-20,0.011813407445607785,0.28355067149265684,0.00042206019004118573,0.00016948753302304347,0.01378347951483558
2013-07-21,0.011441811870743487,0.2358770512396648,0.0005773505021594321,0.0002082245495736764,0.012348383290747904
2013-07-22,0.009112124574392675,0.274154371295352,0.0005667192080465548,0.00030707309731342456,0.012248058455388964
2013-07-23,0.009021214293350243,0.2659319775418885,0.0005196412732018115,0.0003892894587915912,0.011983755060186937
2013-07-24,0.011020237568590337,0.26514855783466734,0.0005781025398121683,0.0010085662542724287,0.01311274555554781
2013-07-25,0.012481882894056145,0.3279711024023438,0.0004819936452606858,0.0018577786106844288,0.01571690938404382
2013-07-26,0.011652998648436027,0.3258742143772602,0.0005816180228525106,0.0018811192594934904,0.01527804064582787
2013-07-27,0.011714655247008468,0.4236420219714766,0.0005993929698825547,0.002175280341198792,0.01804491684613979
2013-07-28,0.01039456190928255,0.23130888957186913,0.0005629985786410572,0.0018389206548812898,0.01205625144276475
2013-07-29,0.010648449831498607,0.23261795437821858,0.0008548683332603144,0.002550670290101217,0.012454686355233098
2013-07-30,0.010061710107046042,0.3179384165768608,0.0007362457116421372,0.003111262266801627,0.014580036463504163
2013-07-31,0.009842596247593274,0.33251973871527424,0.0009227897800164551,0.003789528562031619,0.015068341490675203
2013-08-01,0.010505027010265915,0.378247605595655,0.0008987910751556424,0.002832502092989964,0.016428907059555506
2013-08-02,0.009292137364562554,0.43722384365190403,0.0008772976786277402,0.004695165077737933,0.017836314361058033
2013-08-03,0.008256043426892788,0.22293135195805844,0.000916170601459093,0.0035476654527355567,0.011232269808046468
2013-08-04,0.009712435247015828,0.2904653145532715,0.0010198710734971113,0.005531480395533656,0.014266453325390884
2013-08-05,0.009487387858488943,0.2227304317590495,0.0011072013914592777,0.007111449092661944,0.012678465818361984
2013-08-06,0.008851500943870596,0.26857278043395494,0.0012883416721379006,0.005287914864563977,0.013258694787779246
2013-08-07,0.009542551058485792,0.30904802477648224,0.0012940805937604624,0.005873180228687692,0.014838109898479609
