,EPL,YGPL,NPML,IMXL,Nation
2017-12-07,0.019438989969885776,0.14067797506841018,0.0,0.0,0.013639104635802451
2017-12-08,0.02458624437657115,0.12916017029316904,0.0,0.0,0.01588953788698101
2017-12-09,0.02324317119263494,0.1486921476695327,0.0,0.0,0.01576357532818031
2017-12-10,0.021040416923413734,0.13385739679077857,0.0,0.0,0.014248919916885478
2017-12-11,0.019161794987674008,0.11782241537927668,0.0,0.0,0.012862723611851212
2017-12-12,0.014542685663323309,0.09721284479995218,0.0,0.0,0.009979538958313394
2017-12-13,0.012851666699930334,0.10392022301064328,0.0,0.0,0.00932179869774922
2017-12-14,0.014484130605542586,0.108711466251971,0.0,0.0,0.010271197070671489
2017-12-15,0.01278453911450575,0.12482677522212028,0.0,0.0,0.00987174003442341
2017-12-16,0.010084148198120453,0.0973264927253685,0.0,0.0,0.007754951596675394
2017-12-17,0.01751401084628758,0.12016441560762388,0.0,0.0,0.012104752490018468
2017-12-18,0.016202045729138928,0.0954520504535015,0.0,0.0,0.010759515037879001
2017-12-19,0.019072555395449477,0.08799448357908383,0.0,0.0,0.011985664233227644
2017-12-20,0.01474413124437418,0.09250537601620655,0.0,0.0,0.009948812474196645
2017-12-21,0.014276063827694759,0.11905492398927606,0.0,0.0,0.010455910400945947
2017-12-22,0.015241095659584297,0.0990950345411005,0.0,0.0,0.010381037652851834
2017-12-23,0.013592900665905606,0.12010770534078455,0.0,0.0,0.010143942271186935
2017-12-24,0.0108475175985024,0.10397150837429503,0.0,0.0,0.008321834034795287
2017-12-25,0.014368589432950739,0.1129729878327092,0.0,0.0,0.01033240070255036
2017-12-26,0.012965191625063327,0.10696980458918019,0.0,0.0,0.009463633704970052
2017-12-27,0.012594552311678778,0.1030855655864337,0.0,0.0,0.009170034045554741
2017-12-28,0.014320908448701106,0.10192134432593612,0.0,0.0,0.01000013527654655
2017-12-29,0.013613027901916255,0.10539944187678912,0.0,0.0,0.00974350513942459
2017-12-30,0.011374974218884983,0.08101375821759986,0.0,0.0,0.007944654333941606
2017-12-31,0.014121082522552324,0.08524203018629019,0.0,0.0,0.009434785846360151
2018-01-01,0.01241106623013235,0.08284732043941247,0.0,0.0,0.008513522555456626
2018-01-02,0.0081709482708275,0.08711953497782361,0.0,0.0,0.006514132715900293
2018-01-03,0.004817546631198459,0.1074836203955978,0.0,0.0,0.005406909942944933
2018-01-04,0.006118388769135081,0.07983974018102796,0.0,0.0,0.005285375623846622
2018-01-05,0.00726510887402355,0.06907050560835284,0.0,0.0,0.005557788114679782
2018-01-06,0.007455095888376228,0.06608807965348991,0.0,0.0,0.005569480565614726
2018-01-07,0.006601478748805589,0.06903342963949642,0.0,0.0,0.005225162986946217
2018-01-08,0.00475731346154959,0.09339665072649994,0.0,0.0,0.004983659547817417
2018-01-09,0.00574470807405386,0.07154178550403383,0.0,0.0,0.004867073609457928
2018-01-10,0.007093353832871631,0.06103295618634224,0.0,0.0,0.0052476482277935875
2018-01-11,0.007130825005924244,0.06322662505799098,0.0,0.0,0.005327594382592728
2018-01-12,0.008714298921349794,0.06552435243820874,0.0,0.0,0.006182922641946934
2018-01-13,0.007064523427229273,0.060765121524661105,0.0,0.0,0.005225767770350032
2018-01-14,0.008240030400773478,0.06035482796152058,0.0,0.0,0.0058016723449563976
2018-01-15,0.008830217013264464,0.04975382931340622,0.0,0.0,0.005800701827623675
2018-01-16,0.00849273373614096,0.07011714691965541,0.0,0.0,0.006200395683064066
2018-01-17,0.010065966799404961,0.0594356979147504,0.0,0.0,0.006688370258571453
2018-01-18,0.0065444595814414235,0.06521896890467452,0.0,0.0,0.005090214662095036
2018-01-19,0.009765547808159712,0.06018522853688764,0.0,0.0,0.006559181179852654
2018-01-20,0.007995019216018856,0.0521364813512455,0.0,0.0,0.005449883308052066
2018-01-21,0.009332937519385773,0.07797402076255473,0.0,0.0,0.00683949113173647
2018-01-22,0.007301853442015129,0.06386650477960001,0.0,0.0,0.005430909141247735
2018-01-23,0.003647672175383813,0.05553660001603546,0.0,0.0,0.0033725758496215732
2018-01-24,0.0030931491247553886,0.0459747981969695,0.0,0.0,0.0028286410900385745
2018-01-25,0.0028206817489304916,0.051402144997574485,0.0,0.0,0.0028439718482047654
2018-01-26,0.003382744478980923,0.043305186796588256,0.0,0.0,0.0028988343485900347
2018-01-27,0.004316392260224332,0.042855644286076834,0.0,0.0,0.003352795813707641
2018-01-28,0.003895055292744887,0.06341352723306741,0.0,0.0,0.003716021352451211
2018-01-29,0.004813813828927853,0.05986140679672902,0.0,0.0,0.004075953175805574
2018-01-30,0.005582772619787621,0.06352089177583664,0.0,0.0,0.004562305036219855
2018-01-31,0.005218866932349055,0.053877097137840585,0.0,0.0,0.004111326076149894
2018-02-01,0.005636832415062732,0.0618910726768681,0.0,0.0,0.004543829897230768
2018-02-02,0.0033185197804145167,0.040468245159000875,0.0,0.0,0.0027875673453900325
2018-02-03,0.0038570959773116093,0.052413048241098985,0.0,0.0,0.003390041423268756
2018-02-04,0.004382951546910297,0.04523212309720487,0.0,0.0,0.0034523782318804305
2018-02-05,0.0057930003773766356,0.05012557705265965,0.0,0.0,0.00429349697794653
2018-02-06,0.00537326093335945,0.05272046784926,0.0,0.0,0.0041561903559773124
2018-02-07,0.005956942610438893,0.04808275915919413,0.0,0.0,0.0043183994423435694
2018-02-08,0.0047242476232254756,0.032470023647118526,0.0,0.0,0.0032667324046495544
2018-02-09,0.005886629686639842,0.028572459661687248,0.0,0.0,0.003738752498289713
2018-02-10,0.005223945415281593,0.038399305669376875,0.0,0.0,0.0036818928531018747
2018-02-11,0.003786787967719775,0.04591686223073311,0.0,0.0,0.003173608721728704
2018-02-12,0.0042956297040824,0.04346954927433548,0.0,0.0,0.003359555081861829
2018-02-13,0.0033204875371005064,0.033011800797483296,0.0,0.0,0.002580448139726927
2018-02-14,0.004662740430844063,0.028189730208604658,0.0,0.0,0.003116540629917783
2018-02-15,0.004023574358866243,0.03065098051237226,0.0,0.0,0.002865865205329792
2018-02-16,0.007621653059075486,0.05074934429556183,0.0,0.0,0.005224612939839243
2018-02-17,0.003684977855523466,0.03260604411784392,0.0,0.0,0.002751245599455738
2018-02-18,0.004195821667371556,0.03158270571660819,0.0,0.0,0.002977934123125998
2018-02-19,0.005098790769361616,0.03161204483347815,0.0,0.0,0.00342993177597272
2018-02-20,0.005169677263291057,0.03408477871932313,0.0,0.0,0.0035343627221602974
2018-02-21,0.007407248714620664,0.03196689750605325,0.0,0.0,0.004593282762872783
